"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"549073","29","3",1,"10 KOs","0 KOs"
"575332","21","0",0,"13 KOs","0 KOs"
"683920","22","1",1,"9 KOs","0 KOs"
"693965","22","2",0,"18 KOs","1 KOs"
"664518","16","0",0,"3 KOs","0 KOs"
"730557","29","0",0,"19 KOs","0 KOs"
"741197","24","2",0,"13 KOs","0 KOs"
"673141","20","2",0,"11 KOs","0 KOs"
"801693","15","0",0,"13 KOs","0 KOs"
"344539","26","14",1,"15 KOs","4 KOs"
"684792","16","2",1,"12 KOs","1 KOs"
"629464","22","2",1,"11 KOs","0 KOs"
"706779","15","2",0,"9 KOs","1 KOs"
"500607","25","2",1,"17 KOs","1 KOs"
"505296","22","4",0,"14 KOs","2 KOs"
"667667","15","1",0,"3 KOs","0 KOs"
"573607","19","2",0,"13 KOs","1 KOs"
"556657","29","4",0,"18 KOs","1 KOs"
"389447","43","4",0,"36 KOs","2 KOs"
"548662","26","2",3,"12 KOs","0 KOs"
"675026","37","1",0,"23 KOs","0 KOs"
"790078","9","1",0,"8 KOs","0 KOs"
"651121","22","1",0,"14 KOs","0 KOs"
"570403","27","2",3,"18 KOs","2 KOs"
"383177","55","1",0,"19 KOs","0 KOs"
"530362","37","2",0,"32 KOs","0 KOs"
"719359","20","1",0,"15 KOs","0 KOs"
"534798","27","2",0,"12 KOs","1 KOs"
"456275","28","2",1,"19 KOs","1 KOs"
"631078","28","3",1,"25 KOs","2 KOs"
"692967","18","1",0,"10 KOs","1 KOs"
"663150","19","2",2,"8 KOs","0 KOs"
"613598","33","1",0,"14 KOs","0 KOs"
"632458","21","1",0,"9 KOs","0 KOs"
"451505","31","3",0,"20 KOs","2 KOs"
"623520","22","2",1,"6 KOs","0 KOs"
"580441","19","0",0,"12 KOs","0 KOs"
"585044","21","1",0,"12 KOs","1 KOs"
"681602","17","1",0,"13 KOs","1 KOs"
"832215","11","1",0,"7 KOs","0 KOs"
"791796","13","0",0,"9 KOs","0 KOs"
"720233","16","0",0,"6 KOs","0 KOs"
"716443","22","2",0,"21 KOs","1 KOs"
"665698","18","3",0,"3 KOs","1 KOs"
"539640","30","2",0,"11 KOs","0 KOs"
"508315","31","2",0,"22 KOs","1 KOs"
"472942","38","3",0,"20 KOs","0 KOs"
"625357","25","3",0,"9 KOs","0 KOs"
"666339","16","1",0,"9 KOs","1 KOs"
"752024","22","0",0,"14 KOs","0 KOs"
"742000","20","2",0,"14 KOs","1 KOs"
"751478","18","1",0,"14 KOs","0 KOs"
"776463","16","0",0,"12 KOs","0 KOs"
"617852","27","0",0,"12 KOs","0 KOs"
"592378","33","3",0,"29 KOs","3 KOs"
"851094","9","0",0,"4 KOs","0 KOs"
"577951","21","0",0,"15 KOs","0 KOs"
"722516","22","0",0,"16 KOs","0 KOs"
"619127","24","2",0,"14 KOs","0 KOs"
"544031","25","4",1,"22 KOs","3 KOs"
"71275","44","8",1,"16 KOs","0 KOs"
"794104","11","0",1,"4 KOs","0 KOs"
"773842","17","0",1,"13 KOs","0 KOs"
"795843","11","0",0,"9 KOs","0 KOs"
