"boxerID","wins","defeats","draws","wins_by_KO","defeats_by_KO"
"10319","136","19",10,"24 KOs","2 KOs"
"4059","47","1",0,"41 KOs","0 KOs"
"12423","66","5",8,"33 KOs","0 KOs"
"4141","48","2",0,"38 KOs","1 KOs"
"78475","48","1",3,"22 KOs","1 KOs"
"3842","45","1",3,"21 KOs","0 KOs"
"521","51","0",1,"38 KOs","0 KOs"
"47889","48","8",1,"10 KOs","3 KOs"
"9437","157","65",9,"81 KOs","4 KOs"
"10517","118","19",14,"29 KOs","1 KOs"
"11677","41","8",0,"27 KOs","2 KOs"
"13858","75","19",3,"37 KOs","3 KOs"
"10519","106","18",3,"17 KOs","1 KOs"
"8166","75","5",2,"44 KOs","0 KOs"
"1640","43","1",0,"33 KOs","0 KOs"
"36384","70","0",5,"50 KOs","0 KOs"
"9023","131","3",1,"98 KOs","3 KOs"
"580","60","12",4,"44 KOs","5 KOs"
"9314","45","3",0,"32 KOs","3 KOs"
"33535","41","6",0,"33 KOs","2 KOs"
"9601","121","30",14,"77 KOs","6 KOs"
"10921","34","6",0,"19 KOs","1 KOs"
"12672","122","47",14,"56 KOs","11 KOs"
"9043","145","16",2,"104 KOs","1 KOs"
"26146","56","17",11,"26 KOs","3 KOs"
"9618","71","21",10,"16 KOs","0 KOs"
"440","38","6",2,"27 KOs","1 KOs"
"612","34","6",0,"25 KOs","5 KOs"
"12555","62","14",4,"30 KOs","3 KOs"
"21553","123","5",11,"58 KOs","3 KOs"
"9435","55","17",3,"22 KOs","2 KOs"
"11330","46","11",11,"25 KOs","1 KOs"
"607","79","6",3,"38 KOs","0 KOs"
"2324","46","4",0,"23 KOs","4 KOs"
"9009","53","6",8,"43 KOs","1 KOs"
"2542","44","3",1,"42 KOs","3 KOs"
"11505","72","2",4,"50 KOs","0 KOs"
"11878","74","5",7,"34 KOs","1 KOs"
"2201","44","1",1,"32 KOs","0 KOs"
"11416","66","24",5,"53 KOs","1 KOs"
"11390","48","12",1,"27 KOs","2 KOs"
"12049","73","11",2,"43 KOs","3 KOs"
"629465","27","0",0,"21 KOs","0 KOs"
"9006","136","10",6,"51 KOs","2 KOs"
"13957","64","9",11,"41 KOs","3 KOs"
"426053","29","1",0,"22 KOs","0 KOs"
"18206","55","9",4,"34 KOs","3 KOs"
"10337","97","23",11,"69 KOs","9 KOs"
"53088","80","21",23,"45 KOs","4 KOs"
"168","42","7",1,"33 KOs","4 KOs"
"2224","35","15",0,"31 KOs","6 KOs"
"11067","54","22",10,"12 KOs","5 KOs"
"272717","39","3",0,"27 KOs","3 KOs"
"9895","97","8",2,"55 KOs","1 KOs"
"10094","70","22",8,"37 KOs","4 KOs"
"56317","83","12",5,"41 KOs","4 KOs"
"12326","88","13",4,"12 KOs","5 KOs"
"456","73","6",1,"48 KOs","2 KOs"
"9454","91","8",4,"51 KOs","2 KOs"
"10845","52","3",3,"25 KOs","0 KOs"
"532","47","9",0,"31 KOs","4 KOs"
"505927","34","4",1,"29 KOs","3 KOs"
"39779","121","17",24,"59 KOs","1 KOs"
"462","58","4",0,"38 KOs","1 KOs"
"1764","48","6",0,"28 KOs","3 KOs"
"48243","42","6",0,"28 KOs","1 KOs"
"12310","69","15",6,"16 KOs","0 KOs"
"8993","39","1",0,"35 KOs","1 KOs"
"30114","176","20",21,"86 KOs","5 KOs"
"12678","89","27",2,"33 KOs","4 KOs"
